V1,spectra_means,spectra_names,spectra_rank,trait_name
461,0.055,x461,NA,Leaf Mass per Area
462,0.055,x462,NA,Leaf Mass per Area
463,0.055,x463,NA,Leaf Mass per Area
464,0.055,x464,NA,Leaf Mass per Area
465,0.056,x465,NA,Leaf Mass per Area
466,0.056,x466,NA,Leaf Mass per Area
467,0.056,x467,NA,Leaf Mass per Area
468,0.056,x468,NA,Leaf Mass per Area
469,0.056,x469,NA,Leaf Mass per Area
470,0.056,x470,NA,Leaf Mass per Area
471,0.056,x471,NA,Leaf Mass per Area
472,0.056,x472,NA,Leaf Mass per Area
473,0.056,x473,NA,Leaf Mass per Area
474,0.056,x474,NA,Leaf Mass per Area
475,0.056,x475,NA,Leaf Mass per Area
476,0.056,x476,NA,Leaf Mass per Area
477,0.056,x477,NA,Leaf Mass per Area
478,0.056,x478,14,Leaf Mass per Area
479,0.056,x479,NA,Leaf Mass per Area
480,0.056,x480,NA,Leaf Mass per Area
481,0.056,x481,NA,Leaf Mass per Area
482,0.056,x482,NA,Leaf Mass per Area
483,0.056,x483,NA,Leaf Mass per Area
484,0.056,x484,NA,Leaf Mass per Area
485,0.056,x485,21,Leaf Mass per Area
486,0.056,x486,NA,Leaf Mass per Area
487,0.057,x487,NA,Leaf Mass per Area
488,0.057,x488,NA,Leaf Mass per Area
489,0.057,x489,NA,Leaf Mass per Area
490,0.057,x490,NA,Leaf Mass per Area
491,0.058,x491,NA,Leaf Mass per Area
492,0.058,x492,NA,Leaf Mass per Area
493,0.059,x493,NA,Leaf Mass per Area
494,0.059,x494,NA,Leaf Mass per Area
495,0.059,x495,NA,Leaf Mass per Area
496,0.06,x496,NA,Leaf Mass per Area
497,0.061,x497,NA,Leaf Mass per Area
498,0.061,x498,NA,Leaf Mass per Area
499,0.062,x499,NA,Leaf Mass per Area
500,0.063,x500,NA,Leaf Mass per Area
501,0.064,x501,NA,Leaf Mass per Area
502,0.065,x502,NA,Leaf Mass per Area
503,0.066,x503,NA,Leaf Mass per Area
504,0.067,x504,NA,Leaf Mass per Area
505,0.068,x505,NA,Leaf Mass per Area
506,0.07,x506,NA,Leaf Mass per Area
507,0.071,x507,NA,Leaf Mass per Area
508,0.073,x508,NA,Leaf Mass per Area
509,0.075,x509,NA,Leaf Mass per Area
510,0.077,x510,NA,Leaf Mass per Area
511,0.079,x511,NA,Leaf Mass per Area
512,0.081,x512,NA,Leaf Mass per Area
513,0.084,x513,NA,Leaf Mass per Area
514,0.086,x514,NA,Leaf Mass per Area
515,0.089,x515,NA,Leaf Mass per Area
516,0.092,x516,NA,Leaf Mass per Area
517,0.095,x517,NA,Leaf Mass per Area
518,0.098,x518,NA,Leaf Mass per Area
519,0.101,x519,NA,Leaf Mass per Area
520,0.104,x520,NA,Leaf Mass per Area
521,0.108,x521,NA,Leaf Mass per Area
522,0.111,x522,NA,Leaf Mass per Area
523,0.114,x523,NA,Leaf Mass per Area
524,0.117,x524,NA,Leaf Mass per Area
525,0.12,x525,NA,Leaf Mass per Area
526,0.123,x526,NA,Leaf Mass per Area
527,0.126,x527,NA,Leaf Mass per Area
528,0.129,x528,NA,Leaf Mass per Area
529,0.131,x529,NA,Leaf Mass per Area
530,0.133,x530,NA,Leaf Mass per Area
531,0.135,x531,NA,Leaf Mass per Area
532,0.137,x532,NA,Leaf Mass per Area
533,0.138,x533,NA,Leaf Mass per Area
534,0.14,x534,NA,Leaf Mass per Area
535,0.141,x535,NA,Leaf Mass per Area
536,0.142,x536,NA,Leaf Mass per Area
537,0.143,x537,NA,Leaf Mass per Area
538,0.144,x538,NA,Leaf Mass per Area
539,0.145,x539,NA,Leaf Mass per Area
540,0.146,x540,NA,Leaf Mass per Area
541,0.146,x541,NA,Leaf Mass per Area
542,0.147,x542,NA,Leaf Mass per Area
543,0.148,x543,NA,Leaf Mass per Area
544,0.148,x544,NA,Leaf Mass per Area
545,0.149,x545,NA,Leaf Mass per Area
546,0.149,x546,NA,Leaf Mass per Area
547,0.15,x547,NA,Leaf Mass per Area
548,0.15,x548,NA,Leaf Mass per Area
549,0.151,x549,NA,Leaf Mass per Area
550,0.151,x550,NA,Leaf Mass per Area
551,0.152,x551,NA,Leaf Mass per Area
552,0.152,x552,NA,Leaf Mass per Area
553,0.152,x553,NA,Leaf Mass per Area
554,0.152,x554,NA,Leaf Mass per Area
555,0.152,x555,NA,Leaf Mass per Area
556,0.151,x556,NA,Leaf Mass per Area
557,0.15,x557,NA,Leaf Mass per Area
558,0.15,x558,NA,Leaf Mass per Area
559,0.149,x559,NA,Leaf Mass per Area
560,0.148,x560,NA,Leaf Mass per Area
561,0.147,x561,NA,Leaf Mass per Area
562,0.146,x562,NA,Leaf Mass per Area
563,0.144,x563,NA,Leaf Mass per Area
564,0.143,x564,NA,Leaf Mass per Area
565,0.141,x565,NA,Leaf Mass per Area
566,0.14,x566,NA,Leaf Mass per Area
567,0.138,x567,NA,Leaf Mass per Area
568,0.136,x568,NA,Leaf Mass per Area
569,0.134,x569,NA,Leaf Mass per Area
570,0.132,x570,NA,Leaf Mass per Area
571,0.13,x571,NA,Leaf Mass per Area
572,0.128,x572,NA,Leaf Mass per Area
573,0.126,x573,NA,Leaf Mass per Area
574,0.125,x574,NA,Leaf Mass per Area
575,0.123,x575,NA,Leaf Mass per Area
576,0.121,x576,NA,Leaf Mass per Area
577,0.12,x577,NA,Leaf Mass per Area
578,0.119,x578,NA,Leaf Mass per Area
579,0.117,x579,NA,Leaf Mass per Area
580,0.116,x580,NA,Leaf Mass per Area
581,0.115,x581,NA,Leaf Mass per Area
582,0.114,x582,NA,Leaf Mass per Area
583,0.113,x583,NA,Leaf Mass per Area
584,0.112,x584,NA,Leaf Mass per Area
585,0.111,x585,NA,Leaf Mass per Area
586,0.11,x586,NA,Leaf Mass per Area
587,0.109,x587,NA,Leaf Mass per Area
588,0.109,x588,NA,Leaf Mass per Area
589,0.108,x589,NA,Leaf Mass per Area
590,0.107,x590,NA,Leaf Mass per Area
591,0.107,x591,NA,Leaf Mass per Area
592,0.106,x592,NA,Leaf Mass per Area
593,0.106,x593,NA,Leaf Mass per Area
594,0.106,x594,NA,Leaf Mass per Area
595,0.105,x595,NA,Leaf Mass per Area
596,0.105,x596,NA,Leaf Mass per Area
597,0.105,x597,NA,Leaf Mass per Area
598,0.104,x598,NA,Leaf Mass per Area
599,0.104,x599,NA,Leaf Mass per Area
600,0.103,x600,NA,Leaf Mass per Area
601,0.103,x601,NA,Leaf Mass per Area
602,0.103,x602,NA,Leaf Mass per Area
603,0.102,x603,NA,Leaf Mass per Area
604,0.101,x604,NA,Leaf Mass per Area
605,0.101,x605,NA,Leaf Mass per Area
606,0.1,x606,NA,Leaf Mass per Area
607,0.099,x607,NA,Leaf Mass per Area
608,0.098,x608,NA,Leaf Mass per Area
609,0.098,x609,NA,Leaf Mass per Area
610,0.097,x610,NA,Leaf Mass per Area
611,0.096,x611,NA,Leaf Mass per Area
612,0.095,x612,NA,Leaf Mass per Area
613,0.094,x613,NA,Leaf Mass per Area
614,0.093,x614,NA,Leaf Mass per Area
615,0.092,x615,NA,Leaf Mass per Area
616,0.091,x616,NA,Leaf Mass per Area
617,0.09,x617,NA,Leaf Mass per Area
618,0.09,x618,NA,Leaf Mass per Area
619,0.089,x619,NA,Leaf Mass per Area
620,0.088,x620,NA,Leaf Mass per Area
621,0.088,x621,NA,Leaf Mass per Area
622,0.087,x622,NA,Leaf Mass per Area
623,0.087,x623,NA,Leaf Mass per Area
624,0.087,x624,NA,Leaf Mass per Area
625,0.087,x625,NA,Leaf Mass per Area
626,0.086,x626,NA,Leaf Mass per Area
627,0.086,x627,NA,Leaf Mass per Area
628,0.086,x628,NA,Leaf Mass per Area
629,0.086,x629,NA,Leaf Mass per Area
630,0.086,x630,NA,Leaf Mass per Area
631,0.086,x631,NA,Leaf Mass per Area
632,0.086,x632,NA,Leaf Mass per Area
633,0.085,x633,NA,Leaf Mass per Area
634,0.085,x634,NA,Leaf Mass per Area
635,0.085,x635,NA,Leaf Mass per Area
636,0.084,x636,NA,Leaf Mass per Area
637,0.083,x637,NA,Leaf Mass per Area
638,0.083,x638,NA,Leaf Mass per Area
639,0.082,x639,NA,Leaf Mass per Area
640,0.081,x640,NA,Leaf Mass per Area
641,0.08,x641,NA,Leaf Mass per Area
642,0.079,x642,NA,Leaf Mass per Area
643,0.078,x643,NA,Leaf Mass per Area
644,0.077,x644,NA,Leaf Mass per Area
645,0.076,x645,NA,Leaf Mass per Area
646,0.075,x646,NA,Leaf Mass per Area
647,0.074,x647,NA,Leaf Mass per Area
648,0.073,x648,NA,Leaf Mass per Area
649,0.073,x649,NA,Leaf Mass per Area
650,0.072,x650,NA,Leaf Mass per Area
651,0.072,x651,NA,Leaf Mass per Area
652,0.071,x652,NA,Leaf Mass per Area
653,0.071,x653,NA,Leaf Mass per Area
654,0.07,x654,NA,Leaf Mass per Area
655,0.07,x655,NA,Leaf Mass per Area
656,0.069,x656,NA,Leaf Mass per Area
657,0.069,x657,NA,Leaf Mass per Area
658,0.068,x658,NA,Leaf Mass per Area
659,0.067,x659,NA,Leaf Mass per Area
660,0.066,x660,NA,Leaf Mass per Area
661,0.066,x661,NA,Leaf Mass per Area
662,0.065,x662,NA,Leaf Mass per Area
663,0.064,x663,NA,Leaf Mass per Area
664,0.064,x664,NA,Leaf Mass per Area
665,0.063,x665,NA,Leaf Mass per Area
666,0.063,x666,NA,Leaf Mass per Area
667,0.062,x667,NA,Leaf Mass per Area
668,0.062,x668,NA,Leaf Mass per Area
669,0.062,x669,NA,Leaf Mass per Area
670,0.062,x670,NA,Leaf Mass per Area
671,0.062,x671,NA,Leaf Mass per Area
672,0.062,x672,NA,Leaf Mass per Area
673,0.062,x673,NA,Leaf Mass per Area
674,0.063,x674,NA,Leaf Mass per Area
675,0.063,x675,NA,Leaf Mass per Area
676,0.063,x676,NA,Leaf Mass per Area
677,0.064,x677,NA,Leaf Mass per Area
678,0.064,x678,NA,Leaf Mass per Area
679,0.065,x679,NA,Leaf Mass per Area
680,0.066,x680,NA,Leaf Mass per Area
681,0.067,x681,NA,Leaf Mass per Area
682,0.068,x682,NA,Leaf Mass per Area
683,0.069,x683,NA,Leaf Mass per Area
684,0.07,x684,NA,Leaf Mass per Area
685,0.072,x685,NA,Leaf Mass per Area
686,0.073,x686,NA,Leaf Mass per Area
687,0.075,x687,NA,Leaf Mass per Area
688,0.078,x688,NA,Leaf Mass per Area
689,0.081,x689,NA,Leaf Mass per Area
690,0.085,x690,NA,Leaf Mass per Area
691,0.089,x691,NA,Leaf Mass per Area
692,0.094,x692,NA,Leaf Mass per Area
693,0.1,x693,NA,Leaf Mass per Area
694,0.106,x694,NA,Leaf Mass per Area
695,0.113,x695,NA,Leaf Mass per Area
696,0.121,x696,NA,Leaf Mass per Area
697,0.129,x697,NA,Leaf Mass per Area
698,0.138,x698,NA,Leaf Mass per Area
699,0.147,x699,NA,Leaf Mass per Area
700,0.157,x700,NA,Leaf Mass per Area
701,0.167,x701,NA,Leaf Mass per Area
702,0.176,x702,NA,Leaf Mass per Area
703,0.186,x703,NA,Leaf Mass per Area
704,0.195,x704,NA,Leaf Mass per Area
705,0.205,x705,NA,Leaf Mass per Area
706,0.214,x706,NA,Leaf Mass per Area
707,0.224,x707,NA,Leaf Mass per Area
708,0.233,x708,NA,Leaf Mass per Area
709,0.242,x709,NA,Leaf Mass per Area
710,0.251,x710,NA,Leaf Mass per Area
711,0.26,x711,NA,Leaf Mass per Area
712,0.269,x712,NA,Leaf Mass per Area
713,0.278,x713,NA,Leaf Mass per Area
714,0.287,x714,NA,Leaf Mass per Area
715,0.296,x715,NA,Leaf Mass per Area
716,0.304,x716,NA,Leaf Mass per Area
717,0.313,x717,NA,Leaf Mass per Area
718,0.321,x718,NA,Leaf Mass per Area
719,0.329,x719,NA,Leaf Mass per Area
720,0.338,x720,NA,Leaf Mass per Area
721,0.346,x721,NA,Leaf Mass per Area
722,0.354,x722,NA,Leaf Mass per Area
723,0.361,x723,NA,Leaf Mass per Area
724,0.369,x724,NA,Leaf Mass per Area
725,0.376,x725,NA,Leaf Mass per Area
726,0.383,x726,NA,Leaf Mass per Area
727,0.389,x727,NA,Leaf Mass per Area
728,0.396,x728,NA,Leaf Mass per Area
729,0.402,x729,NA,Leaf Mass per Area
730,0.408,x730,NA,Leaf Mass per Area
731,0.414,x731,NA,Leaf Mass per Area
732,0.419,x732,NA,Leaf Mass per Area
733,0.424,x733,NA,Leaf Mass per Area
734,0.429,x734,NA,Leaf Mass per Area
735,0.433,x735,NA,Leaf Mass per Area
736,0.438,x736,NA,Leaf Mass per Area
737,0.442,x737,NA,Leaf Mass per Area
738,0.445,x738,NA,Leaf Mass per Area
739,0.449,x739,NA,Leaf Mass per Area
740,0.452,x740,NA,Leaf Mass per Area
741,0.455,x741,NA,Leaf Mass per Area
742,0.458,x742,NA,Leaf Mass per Area
743,0.46,x743,NA,Leaf Mass per Area
744,0.462,x744,NA,Leaf Mass per Area
745,0.465,x745,NA,Leaf Mass per Area
746,0.467,x746,NA,Leaf Mass per Area
747,0.468,x747,NA,Leaf Mass per Area
748,0.47,x748,NA,Leaf Mass per Area
749,0.471,x749,NA,Leaf Mass per Area
750,0.472,x750,NA,Leaf Mass per Area
751,0.474,x751,NA,Leaf Mass per Area
752,0.475,x752,NA,Leaf Mass per Area
753,0.476,x753,NA,Leaf Mass per Area
754,0.476,x754,NA,Leaf Mass per Area
755,0.477,x755,NA,Leaf Mass per Area
756,0.478,x756,NA,Leaf Mass per Area
757,0.478,x757,NA,Leaf Mass per Area
758,0.479,x758,NA,Leaf Mass per Area
759,0.479,x759,NA,Leaf Mass per Area
760,0.48,x760,NA,Leaf Mass per Area
761,0.48,x761,NA,Leaf Mass per Area
762,0.48,x762,NA,Leaf Mass per Area
763,0.481,x763,NA,Leaf Mass per Area
764,0.481,x764,NA,Leaf Mass per Area
765,0.481,x765,NA,Leaf Mass per Area
766,0.481,x766,NA,Leaf Mass per Area
767,0.481,x767,NA,Leaf Mass per Area
768,0.481,x768,NA,Leaf Mass per Area
769,0.481,x769,NA,Leaf Mass per Area
770,0.481,x770,NA,Leaf Mass per Area
771,0.481,x771,NA,Leaf Mass per Area
772,0.481,x772,NA,Leaf Mass per Area
773,0.481,x773,NA,Leaf Mass per Area
774,0.481,x774,NA,Leaf Mass per Area
775,0.481,x775,NA,Leaf Mass per Area
776,0.481,x776,NA,Leaf Mass per Area
777,0.481,x777,NA,Leaf Mass per Area
778,0.481,x778,NA,Leaf Mass per Area
779,0.481,x779,NA,Leaf Mass per Area
780,0.481,x780,NA,Leaf Mass per Area
781,0.481,x781,NA,Leaf Mass per Area
782,0.481,x782,NA,Leaf Mass per Area
783,0.481,x783,NA,Leaf Mass per Area
784,0.481,x784,NA,Leaf Mass per Area
785,0.481,x785,NA,Leaf Mass per Area
786,0.481,x786,NA,Leaf Mass per Area
787,0.481,x787,NA,Leaf Mass per Area
788,0.481,x788,NA,Leaf Mass per Area
789,0.481,x789,NA,Leaf Mass per Area
790,0.481,x790,NA,Leaf Mass per Area
791,0.481,x791,NA,Leaf Mass per Area
792,0.481,x792,NA,Leaf Mass per Area
793,0.481,x793,NA,Leaf Mass per Area
794,0.481,x794,NA,Leaf Mass per Area
795,0.481,x795,NA,Leaf Mass per Area
796,0.481,x796,NA,Leaf Mass per Area
797,0.481,x797,NA,Leaf Mass per Area
798,0.481,x798,NA,Leaf Mass per Area
799,0.481,x799,NA,Leaf Mass per Area
800,0.481,x800,NA,Leaf Mass per Area
801,0.481,x801,NA,Leaf Mass per Area
802,0.481,x802,NA,Leaf Mass per Area
803,0.481,x803,NA,Leaf Mass per Area
804,0.481,x804,NA,Leaf Mass per Area
805,0.481,x805,NA,Leaf Mass per Area
806,0.481,x806,NA,Leaf Mass per Area
807,0.481,x807,NA,Leaf Mass per Area
808,0.481,x808,NA,Leaf Mass per Area
809,0.481,x809,NA,Leaf Mass per Area
810,0.481,x810,NA,Leaf Mass per Area
811,0.481,x811,NA,Leaf Mass per Area
812,0.481,x812,NA,Leaf Mass per Area
813,0.481,x813,NA,Leaf Mass per Area
814,0.481,x814,NA,Leaf Mass per Area
815,0.481,x815,NA,Leaf Mass per Area
816,0.481,x816,NA,Leaf Mass per Area
817,0.481,x817,NA,Leaf Mass per Area
818,0.481,x818,NA,Leaf Mass per Area
819,0.481,x819,NA,Leaf Mass per Area
820,0.481,x820,NA,Leaf Mass per Area
821,0.481,x821,NA,Leaf Mass per Area
822,0.481,x822,NA,Leaf Mass per Area
823,0.481,x823,NA,Leaf Mass per Area
824,0.481,x824,NA,Leaf Mass per Area
825,0.481,x825,NA,Leaf Mass per Area
826,0.481,x826,NA,Leaf Mass per Area
827,0.481,x827,NA,Leaf Mass per Area
828,0.481,x828,NA,Leaf Mass per Area
829,0.481,x829,NA,Leaf Mass per Area
830,0.481,x830,NA,Leaf Mass per Area
831,0.481,x831,NA,Leaf Mass per Area
832,0.481,x832,NA,Leaf Mass per Area
833,0.481,x833,NA,Leaf Mass per Area
834,0.481,x834,NA,Leaf Mass per Area
835,0.481,x835,NA,Leaf Mass per Area
836,0.481,x836,NA,Leaf Mass per Area
837,0.481,x837,NA,Leaf Mass per Area
838,0.481,x838,NA,Leaf Mass per Area
839,0.481,x839,NA,Leaf Mass per Area
840,0.481,x840,NA,Leaf Mass per Area
841,0.481,x841,NA,Leaf Mass per Area
842,0.481,x842,NA,Leaf Mass per Area
843,0.481,x843,NA,Leaf Mass per Area
844,0.481,x844,NA,Leaf Mass per Area
845,0.481,x845,NA,Leaf Mass per Area
846,0.481,x846,NA,Leaf Mass per Area
847,0.481,x847,NA,Leaf Mass per Area
848,0.481,x848,NA,Leaf Mass per Area
849,0.481,x849,NA,Leaf Mass per Area
850,0.481,x850,NA,Leaf Mass per Area
851,0.481,x851,NA,Leaf Mass per Area
852,0.481,x852,NA,Leaf Mass per Area
853,0.481,x853,NA,Leaf Mass per Area
854,0.481,x854,NA,Leaf Mass per Area
855,0.481,x855,NA,Leaf Mass per Area
856,0.481,x856,NA,Leaf Mass per Area
857,0.481,x857,NA,Leaf Mass per Area
858,0.481,x858,NA,Leaf Mass per Area
859,0.481,x859,NA,Leaf Mass per Area
860,0.48,x860,NA,Leaf Mass per Area
861,0.481,x861,NA,Leaf Mass per Area
862,0.481,x862,NA,Leaf Mass per Area
863,0.481,x863,NA,Leaf Mass per Area
864,0.481,x864,NA,Leaf Mass per Area
865,0.48,x865,NA,Leaf Mass per Area
866,0.48,x866,NA,Leaf Mass per Area
867,0.48,x867,NA,Leaf Mass per Area
868,0.48,x868,NA,Leaf Mass per Area
869,0.48,x869,NA,Leaf Mass per Area
870,0.48,x870,NA,Leaf Mass per Area
871,0.48,x871,NA,Leaf Mass per Area
872,0.48,x872,NA,Leaf Mass per Area
873,0.48,x873,NA,Leaf Mass per Area
874,0.48,x874,NA,Leaf Mass per Area
875,0.48,x875,NA,Leaf Mass per Area
876,0.48,x876,NA,Leaf Mass per Area
877,0.48,x877,NA,Leaf Mass per Area
878,0.48,x878,NA,Leaf Mass per Area
879,0.48,x879,NA,Leaf Mass per Area
880,0.48,x880,NA,Leaf Mass per Area
881,0.48,x881,NA,Leaf Mass per Area
882,0.48,x882,NA,Leaf Mass per Area
883,0.48,x883,NA,Leaf Mass per Area
884,0.48,x884,NA,Leaf Mass per Area
885,0.48,x885,NA,Leaf Mass per Area
886,0.48,x886,NA,Leaf Mass per Area
887,0.48,x887,NA,Leaf Mass per Area
888,0.48,x888,NA,Leaf Mass per Area
889,0.48,x889,NA,Leaf Mass per Area
890,0.48,x890,NA,Leaf Mass per Area
891,0.48,x891,NA,Leaf Mass per Area
892,0.48,x892,NA,Leaf Mass per Area
893,0.48,x893,NA,Leaf Mass per Area
894,0.48,x894,NA,Leaf Mass per Area
895,0.48,x895,NA,Leaf Mass per Area
896,0.48,x896,NA,Leaf Mass per Area
897,0.48,x897,NA,Leaf Mass per Area
898,0.48,x898,NA,Leaf Mass per Area
899,0.48,x899,NA,Leaf Mass per Area
900,0.48,x900,NA,Leaf Mass per Area
901,0.48,x901,NA,Leaf Mass per Area
902,0.48,x902,NA,Leaf Mass per Area
903,0.48,x903,NA,Leaf Mass per Area
904,0.48,x904,NA,Leaf Mass per Area
905,0.479,x905,NA,Leaf Mass per Area
906,0.479,x906,NA,Leaf Mass per Area
907,0.479,x907,NA,Leaf Mass per Area
908,0.479,x908,NA,Leaf Mass per Area
909,0.479,x909,NA,Leaf Mass per Area
910,0.479,x910,NA,Leaf Mass per Area
911,0.479,x911,NA,Leaf Mass per Area
912,0.479,x912,NA,Leaf Mass per Area
913,0.479,x913,NA,Leaf Mass per Area
914,0.479,x914,NA,Leaf Mass per Area
915,0.479,x915,NA,Leaf Mass per Area
916,0.479,x916,NA,Leaf Mass per Area
917,0.479,x917,NA,Leaf Mass per Area
918,0.479,x918,NA,Leaf Mass per Area
919,0.479,x919,NA,Leaf Mass per Area
920,0.479,x920,NA,Leaf Mass per Area
921,0.479,x921,NA,Leaf Mass per Area
922,0.479,x922,NA,Leaf Mass per Area
923,0.479,x923,NA,Leaf Mass per Area
924,0.479,x924,NA,Leaf Mass per Area
925,0.479,x925,NA,Leaf Mass per Area
926,0.478,x926,NA,Leaf Mass per Area
927,0.478,x927,NA,Leaf Mass per Area
928,0.478,x928,NA,Leaf Mass per Area
929,0.478,x929,NA,Leaf Mass per Area
930,0.478,x930,NA,Leaf Mass per Area
931,0.478,x931,NA,Leaf Mass per Area
932,0.477,x932,NA,Leaf Mass per Area
933,0.477,x933,NA,Leaf Mass per Area
934,0.477,x934,NA,Leaf Mass per Area
935,0.477,x935,NA,Leaf Mass per Area
936,0.477,x936,NA,Leaf Mass per Area
937,0.477,x937,NA,Leaf Mass per Area
938,0.476,x938,NA,Leaf Mass per Area
939,0.476,x939,NA,Leaf Mass per Area
940,0.476,x940,NA,Leaf Mass per Area
941,0.476,x941,NA,Leaf Mass per Area
942,0.476,x942,NA,Leaf Mass per Area
943,0.476,x943,NA,Leaf Mass per Area
944,0.475,x944,NA,Leaf Mass per Area
945,0.475,x945,NA,Leaf Mass per Area
946,0.475,x946,NA,Leaf Mass per Area
947,0.474,x947,NA,Leaf Mass per Area
948,0.473,x948,NA,Leaf Mass per Area
949,0.473,x949,NA,Leaf Mass per Area
950,0.472,x950,NA,Leaf Mass per Area
951,0.472,x951,NA,Leaf Mass per Area
952,0.472,x952,NA,Leaf Mass per Area
953,0.471,x953,NA,Leaf Mass per Area
954,0.47,x954,NA,Leaf Mass per Area
955,0.47,x955,NA,Leaf Mass per Area
956,0.469,x956,NA,Leaf Mass per Area
957,0.469,x957,NA,Leaf Mass per Area
958,0.468,x958,NA,Leaf Mass per Area
959,0.468,x959,NA,Leaf Mass per Area
960,0.467,x960,NA,Leaf Mass per Area
961,0.467,x961,NA,Leaf Mass per Area
962,0.467,x962,NA,Leaf Mass per Area
963,0.467,x963,NA,Leaf Mass per Area
964,0.466,x964,NA,Leaf Mass per Area
965,0.466,x965,NA,Leaf Mass per Area
966,0.465,x966,NA,Leaf Mass per Area
967,0.465,x967,NA,Leaf Mass per Area
968,0.464,x968,NA,Leaf Mass per Area
969,0.464,x969,NA,Leaf Mass per Area
970,0.464,x970,NA,Leaf Mass per Area
971,0.464,x971,NA,Leaf Mass per Area
972,0.464,x972,NA,Leaf Mass per Area
973,0.464,x973,NA,Leaf Mass per Area
974,0.464,x974,NA,Leaf Mass per Area
975,0.463,x975,NA,Leaf Mass per Area
976,0.463,x976,NA,Leaf Mass per Area
977,0.463,x977,NA,Leaf Mass per Area
978,0.463,x978,NA,Leaf Mass per Area
979,0.463,x979,NA,Leaf Mass per Area
980,0.463,x980,NA,Leaf Mass per Area
981,0.464,x981,NA,Leaf Mass per Area
982,0.464,x982,NA,Leaf Mass per Area
983,0.464,x983,NA,Leaf Mass per Area
984,0.464,x984,NA,Leaf Mass per Area
985,0.463,x985,NA,Leaf Mass per Area
986,0.463,x986,NA,Leaf Mass per Area
987,0.463,x987,NA,Leaf Mass per Area
988,0.463,x988,NA,Leaf Mass per Area
989,0.463,x989,NA,Leaf Mass per Area
990,0.463,x990,NA,Leaf Mass per Area
991,0.463,x991,NA,Leaf Mass per Area
992,0.463,x992,NA,Leaf Mass per Area
993,0.463,x993,NA,Leaf Mass per Area
994,0.464,x994,NA,Leaf Mass per Area
995,0.464,x995,NA,Leaf Mass per Area
996,0.464,x996,NA,Leaf Mass per Area
997,0.465,x997,NA,Leaf Mass per Area
998,0.465,x998,NA,Leaf Mass per Area
999,0.465,x999,NA,Leaf Mass per Area
1000,0.465,x1000,NA,Leaf Mass per Area
1001,0.465,x1001,NA,Leaf Mass per Area
1002,0.466,x1002,NA,Leaf Mass per Area
1003,0.466,x1003,NA,Leaf Mass per Area
1004,0.466,x1004,NA,Leaf Mass per Area
